[2010-03-06 23:30] [IC: Local Do] * What does Troy see? *      ((LaTroy Linus))
[2010-03-07 11:36] [IC: Local Do] * Yes, as you hear the music *      ((Vincenzo Corleone))
[2010-03-07 11:36] [IC: Local Do] * If music is loud it can be heared even if its closed. *      ((Santiago Cortez))
[2010-03-07 11:44] [IC: Local Do] * you can see gray bandana hanging out from drakes pocket *      ((Drake Jonson))
[2010-03-07 11:44] [IC: Local Do] * you can see big scar on drakes face *      ((Drake Jonson))
[2010-03-07 11:44] [IC: Local Do] * you can see gray bandana hanging out from drakes pocket *      ((Drake Jonson))
[2010-03-07 11:44] [IC: Local Do] * you can see big scar on drakes face *      ((Drake Jonson))
[2010-03-07 11:55] [IC: Local Do] * Succes *      ((John Fendal))
[2010-03-07 11:56] [IC: Local Do] * none/low/normal/high *      ((Vincenzo Corleone))
[2010-03-07 11:56] [IC: Local Do] * pulse normal *      ((John Fendal))
[2010-03-07 11:56] [IC: Local Do] * Sarah has fainted *      ((Sarah Paterno))
[2010-03-07 11:57] [IC: Local Do] * you can see gray bandana hanging out from drakes pocket *      ((Drake Jonson))
[2010-03-07 11:57] [IC: Local Do] * you can see big scar on drakes face *      ((Drake Jonson))
[2010-03-07 11:58] [IC: Local Do] * You see a Vinyl decals on the truck naming it "The Big Show" *      ((Dale Greene))
[2010-03-07 11:58] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 11:58] [IC: Local Do] * sarah has fainted. *      ((Sarah Paterno))
[2010-03-07 11:59] [IC: Local Do] * Is Sarah Conscious? *      ((Jenny Queen))
[2010-03-07 11:59] [IC: Local Do] * She has fainted *      ((Sarah Paterno))
[2010-03-07 11:59] [IC: Local Do] * Does she breath *      ((Jenny Queen))
[2010-03-07 11:59] [IC: Local Do] * slight scratch *      ((Osiris Mansell))
[2010-03-07 11:59] [IC: Local Do] * Normal *      ((Sarah Paterno))
[2010-03-07 12:00] [IC: Local Do] * S/N/F *      ((Jenny Queen))
[2010-03-07 12:00] [IC: Local Do] * F *      ((Sarah Paterno))
[2010-03-07 12:00] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 12:02] [IC: Local Do] * succeds? *      ((Marcus Johnson))
[2010-03-07 12:03] [IC: Local Do] * succeds. *      ((Sarah Paterno))
[2010-03-07 12:03] [IC: Local Do] * succeds *      ((Sarah Paterno))
[2010-03-07 12:05] [IC: Local Do] * Windows up *      ((Katy Clark))
[2010-03-07 12:12] [IC: Local Do] * Is the window down? *      ((Camilla Sanders))
[2010-03-07 12:18] [IC: Local Do] * You hear very silent mustang engine sound *      ((Katy Clark))
[2010-03-07 12:22] [IC: Local Do] * Body on the ground ? *      ((Leonardo Riba))
[2010-03-07 12:23] [IC: Local Do] * /call 1501 then 911 *      ((Jenny Queen))
[2010-03-07 12:24] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 12:32] [IC: Local Do] * The window is down *      ((Michael McDonnell))
[2010-03-07 12:34] [IC: Local Do] * Succeed *      ((David Evans))
[2010-03-07 12:34] [IC: Local Do] * succeed? *      ((Patrick McMurphy))
[2010-03-07 12:34] [IC: Local Do] * succeed *      ((David Evans))
[2010-03-07 12:34] [IC: Local Do] * succeeds *      ((Osiris Mansell))
[2010-03-07 12:34] [IC: Local Do] * The remington is vibrating *      ((Yong Ong))
[2010-03-07 12:35] [IC: Local Do] * A bass and beat of sounds has been heard out from the remington *      ((Yong Ong))
[2010-03-07 12:35] [IC: Local Do] * Boog Boog Boom *      ((Yong Ong))
[2010-03-07 12:35] [IC: Local Do] * Bap Bap Bup *      ((Yong Ong))
[2010-03-07 12:35] [IC: Local Do] * Any money, ID or something? *      ((Patrick McMurphy))
[2010-03-07 12:35] [IC: Local Do] * Watch, Fishing rod *      ((David Evans))
[2010-03-07 12:35] [IC: Local Do] * phone *      ((David Evans))
[2010-03-07 12:35] [IC: Local Do] * No cash? *      ((Patrick McMurphy))
[2010-03-07 12:36] [IC: Local Do] * Any? *      ((Patrick McMurphy))
[2010-03-07 12:36] [IC: Local Do] * no cash *      ((David Evans))
[2010-03-07 12:36] [IC: Local Do] * Bap Bap Bup, BooG Boog Boom *      ((Yong Ong))
[2010-03-07 12:36] [IC: Local Do] * A bass and beat of sounds has been heard from a remington *      ((Yong Ong))
[2010-03-07 12:37] [IC: Local Do] * succeed? *      ((Patrick McMurphy))
[2010-03-07 12:37] [IC: Local Do] * succeed *      ((David Evans))
[2010-03-07 12:37] [IC: Local Do] * Window? *      ((Arraminta Brenkly))
[2010-03-07 12:38] [IC: Local Do] * succeed *      ((David Evans))
[2010-03-07 12:38] [IC: Local Do] * are they fractured now? *      ((Patrick McMurphy))
[2010-03-07 12:38] [IC: Local Do] * Yes *      ((David Evans))
[2010-03-07 12:39] [IC: Local Do] * succeed *      ((David Evans))
[2010-03-07 12:48] [IC: Local Do] * al lwindows down *      ((Vincenzo Corleone))
[2010-03-07 12:51] [IC: Local Do] * lots of blood losing fast *      ((Adam Benjamin))
[2010-03-07 12:51] [IC: Local Do] * Any ornaments or something along those in the car? *      ((Ramon Rivera))
[2010-03-07 12:52] [IC: Local Do] * No *      ((Santiago Cortez))
[2010-03-07 12:53] [IC: Local Do] * Any gang tattoos or anything elsse? *      ((Santiago Cortez))
[2010-03-07 12:54] [IC: Local Do] * Nah, no gang tattoos *      ((Ramon Rivera))
[2010-03-07 12:54] [IC: Local Do] * You hear clasic music from the car *      ((Vincenzo Corleone))
[2010-03-07 12:57] [IC: Local Do] * Does Nathan wear any bandanas or something? *      ((LaTroy Linus))
[2010-03-07 13:00] [IC: Local Do] * window down or up? *      ((Clyde Sharow))
[2010-03-07 13:00] [IC: Local Do] * Up. *      ((Leo Brownstone))
[2010-03-07 13:01] [IC: Local Do] * Shotgun on his back. *      ((Chris Williams))
[2010-03-07 13:01] [IC: Local Do] * Tazer effect gone? *      ((Chris Williams))
[2010-03-07 13:02] [IC: Local Do] * Tazer effect gone? *      ((Chris Williams))
[2010-03-07 13:02] [IC: Local Do] * No, it lasts a fwe minutes *      ((Arraminta Brenkly))
[2010-03-07 13:02] [IC: Local Do] * suceed? *      ((Arraminta Brenkly))
[2010-03-07 13:02] [IC: Local Do] * Yes. *      ((Chris Williams))
[2010-03-07 13:02] [IC: Local Do] * suceed? *      ((Arraminta Brenkly))
[2010-03-07 13:02] [IC: Local Do] * yes. *      ((Chris Williams))
[2010-03-07 13:02] [IC: Local Do] * suceed? *      ((Arraminta Brenkly))
[2010-03-07 13:02] [IC: Local Do] * yes. *      ((Chris Williams))
[2010-03-07 13:03] [IC: Local Do] * 1/4 *      ((Adam Benjamin))
[2010-03-07 13:03] [IC: Local Do] * 2/4 *      ((Adam Benjamin))
[2010-03-07 13:03] [IC: Local Do] * 3/4 *      ((Adam Benjamin))
[2010-03-07 13:03] [IC: Local Do] * 4/4 *      ((Adam Benjamin))
[2010-03-07 13:03] [IC: Local Do] * suceed? *      ((Arraminta Brenkly))
[2010-03-07 13:03] [IC: Local Do] * yes. *      ((Chris Williams))
[2010-03-07 13:05] [IC: Local Do] * WHere do I find the shotgun on your body? *      ((Arraminta Brenkly))
[2010-03-07 13:05] [IC: Local Do] * Slided on his back. *      ((Chris Williams))
[2010-03-07 13:05] [IC: Local Do] * suceed? *      ((Arraminta Brenkly))
[2010-03-07 13:05] [IC: Local Do] * You cant because my hands are cuffed. *      ((Chris Williams))
[2010-03-07 13:06] [IC: Local Do] * And the belt runs through my hands. *      ((Chris Williams))
[2010-03-07 13:06] [IC: Local Do] * suceed? *      ((Arraminta Brenkly))
[2010-03-07 13:07] [IC: Local Do] * Yes. *      ((Chris Williams))
[2010-03-07 13:08] [IC: Local Do] * Black spray come out. *      ((LaTroy Linus))
[2010-03-07 13:08] [IC: Local Do] * There's a black '10' on the Tahoma. *      ((LaTroy Linus))
[2010-03-07 13:09] [IC: Local Do] * the engine starts *      ((Clyde Sharow))
[2010-03-07 13:10] [IC: Local Do] * Do I hear the spraying? *      ((Thaddius Sawyer))
[2010-03-07 13:10] [IC: Local Do] * You did. *      ((LaTroy Linus))
[2010-03-07 13:10] [IC: Local Do] * Now, there's a green blob on the door. *      ((LaTroy Linus))
[2010-03-07 13:10] [IC: Local Do] * Suceed? *      ((Arraminta Brenkly))
[2010-03-07 13:10] [IC: Local Do] * S *      ((Chris Williams))
[2010-03-07 13:13] [IC: Local Do] * There is a green blob onto the door of the Tahoma. *      ((LaTroy Linus))
[2010-03-07 13:13] [IC: Local Do] * is it open? *      ((Justin McKaine))
[2010-03-07 13:14] [IC: Local Do] * Yes *      ((Khizar Ellahi))
[2010-03-07 13:14] [IC: Local Do] * You see a 10' sprayed somewhere ( I dont remember where) *      ((Thaddius Sawyer))
[2010-03-07 13:14] [IC: Local Do] * It is over sprayed by a green blob. *      ((LaTroy Linus))
[2010-03-07 13:14] [IC: Local Do] * You can't see a 10 sprayed on the Tahoma , just a green blob *      ((Nathan Spencer))
[2010-03-07 13:14] [IC: Local Do] * There is an X-ray machine above the table, its control panel faces the door. *      ((Jick Nick))
[2010-03-07 13:15] [IC: Local Do] * SUceed? Arraminta is relatively strong *      ((Arraminta Brenkly))
[2010-03-07 13:15] [IC: Local Do] * Raynard has got an AK-47 slung over his back. *      ((LaTroy Linus))
[2010-03-07 13:15] [IC: Local Do] * 64Kg vs 90Kg. *      ((Chris Williams))
[2010-03-07 13:15] [IC: Local Do] * Succeeds, but only few. *      ((Chris Williams))
[2010-03-07 13:15] [IC: Local Do] * Resists tho. *      ((Chris Williams))
[2010-03-07 13:15] [IC: Local Do] * After several beeps, an image appears on the monitor showing the bones in Oscar's ankle *      ((Jick Nick))
[2010-03-07 13:15] [IC: Local Do] * The calf bones just above the ankle can also be seen. *      ((Jick Nick))
[2010-03-07 13:16] [IC: Local Do] * Does he see any? *      ((Jick Nick))
[2010-03-07 13:16] [IC: Local Do] * Yes, a fracture *      ((Oscar Acosta))
[2010-03-07 13:16] [IC: Local Do] * How severe is it? *      ((Jick Nick))
[2010-03-07 13:16] [IC: Local Do] * From 1-10 it's something like 3 *      ((Oscar Acosta))
[2010-03-07 13:16] [IC: Local Do] * Suceed? *      ((Arraminta Brenkly))
[2010-03-07 13:16] [IC: Local Do] * Succeeds abit. *      ((Chris Williams))
[2010-03-07 13:16] [IC: Local Do] * suceed? *      ((Arraminta Brenkly))
[2010-03-07 13:16] [IC: Local Do] * Are the bones misplaced in any direction? *      ((Jick Nick))
[2010-03-07 13:16] [IC: Local Do] * Yes. *      ((Chris Williams))
[2010-03-07 13:16] [IC: Local Do] * No *      ((Oscar Acosta))
[2010-03-07 13:16] [IC: Local Do] * do I suceed in getting you in the cell? *      ((Arraminta Brenkly))
[2010-03-07 13:17] [IC: Local Do] * Red, indentical paint like the Tahoma's spray out. *      ((LaTroy Linus))
[2010-03-07 13:17] [IC: Local Do] * You see a PDA? *      ((Justin McKaine))
[2010-03-07 13:17] [IC: Local Do] * Almost. *      ((Chris Williams))
[2010-03-07 13:17] [IC: Local Do] * yes *      ((Roy Greene))
[2010-03-07 13:17] [IC: Local Do] * suceed? *      ((Arraminta Brenkly))
[2010-03-07 13:17] [IC: Local Do] * yes. *      ((Chris Williams))
[2010-03-07 13:17] [IC: Local Do] * flagging the cops down *      ((Thaddius Sawyer))
[2010-03-07 13:18] [IC: Local Do] * Is Oscar's shoe on? *      ((Jick Nick))
[2010-03-07 13:18] [IC: Local Do] * Yes *      ((Oscar Acosta))
[2010-03-07 13:18] [IC: Local Do] * Succeed *      ((Oscar Acosta))
[2010-03-07 13:18] [IC: Local Do] * Is Oscar wearing socks/ *      ((Jick Nick))
[2010-03-07 13:18] [IC: Local Do] * Yes *      ((Oscar Acosta))
[2010-03-07 13:19] [IC: Local Do] * Stratum's door are open *      ((Mauricio Romero))
[2010-03-07 13:19] [IC: Local Do] * There is nobody around. *      ((Jenny Queen))
[2010-03-07 13:19] [IC: Local Do] * This restricts the ankle from movement so the fracture doesn't worsen. *      ((Jick Nick))
[2010-03-07 13:20] [IC: Local Do] * You hearing i'm starting to mombles how much i have on me. *      ((Justin McKaine))
[2010-03-07 13:20] [IC: Local Do] * POOF: *      ((Jenny Queen))
[2010-03-07 13:21] [IC: Local Do] * marlboro reds *      ((Santiago Cortez))
[2010-03-07 13:21] [IC: Local Do] * the Shagwagon makes some clunking noises *      ((Osiris Mansell))
[2010-03-07 13:22] [IC: Local Do] * the engine starts *      ((Kathrine Fields))
[2010-03-07 13:23] [IC: Local Do] * Window down ? *      ((Leonardo Riba))
[2010-03-07 13:24] [IC: Local Do] * passenger window is down *      ((Osiris Mansell))
[2010-03-07 13:24] [IC: Local Do] * passenger window is *      ((Osiris Mansell))
[2010-03-07 13:25] [IC: Local Do] * Windows down *      ((Frank Paterno))
[2010-03-07 13:27] [IC: Local Do] * Lots of white smoke around LaTroy. *      ((LaTroy Linus))
[2010-03-07 13:29] [IC: Local Do] * On the radio of the NRG starts playing .. Too Short - The Ghetto. *      ((LaTroy Linus))
[2010-03-07 13:30] [IC: Local Do] * 1/3 *      ((Vladimir Burin))
[2010-03-07 13:30] [IC: Local Do] * 2/3 *      ((Vladimir Burin))
[2010-03-07 13:30] [IC: Local Do] * 3/3 *      ((Vladimir Burin))
[2010-03-07 13:31] [IC: Local Do] * There spikes laying on the street. *      ((Edward Parker))
[2010-03-07 13:34] [IC: Local Do] * Window? *      ((Arraminta Brenkly))
[2010-03-07 13:36] [IC: Local Do] * You see a flaccid penis that's 2cm long *      ((Takezi Akitomori))
[2010-03-07 13:37] [IC: Local Do] * The window is up. *      ((Leo Brownstone))
[2010-03-07 13:37] [IC: Local Do] * succeds? *      ((Garry Jenkins))
[2010-03-07 13:37] [IC: Local Do] * Garry misses, Leo is driving off. *      ((Leo Brownstone))
[2010-03-07 13:38] [IC: Local Do] * hit roy greene *      ((Jordi Castro))
[2010-03-07 13:40] [IC: Local Do] * An old-looking man with a labcoat and spectacles walks up to Jick. *      ((Jick Nick))
[2010-03-07 13:40] [IC: Local Do] * He nods and walks in, shutting the door behind himself. *      ((Jick Nick))
[2010-03-07 13:40] [IC: Local Do] * 1/3 *      ((Vladimir Burin))
[2010-03-07 13:40] [IC: Local Do] * 2/3 *      ((Vladimir Burin))
[2010-03-07 13:40] [IC: Local Do] * 3/3 *      ((Vladimir Burin))
[2010-03-07 13:40] [IC: Local Do] * 3/1 *      ((Justin McKaine))
[2010-03-07 13:41] [IC: Local Do] * 3/2 *      ((Justin McKaine))
[2010-03-07 13:41] [IC: Local Do] * 3/3 *      ((Justin McKaine))
[2010-03-07 13:41] [IC: Local Do] * Fails as the lock key, doesn't work. *      ((Justin McKaine))
[2010-03-07 13:45] [IC: Local Do] * Washington examines the penis carefully and nods, looking up at him *      ((Jick Nick))
[2010-03-07 13:45] [IC: Local Do] * Washington: "Well... There is no actual treatment for this condition... *      ((Jick Nick))
[2010-03-07 13:46] [IC: Local Do] * Washington: "The only thing that can be done is by exercising its muscles... *      ((Jick Nick))
[2010-03-07 13:46] [IC: Local Do] * Washington: "I'm sure you know how to do that. *      ((Jick Nick))
[2010-03-07 13:46] [IC: Local Do] * window down? *      ((Joshua Fraser))
[2010-03-07 13:47] [IC: Local Do] * yes, the driver's one *      ((Mauricio Romero))
[2010-03-07 13:47] [IC: Local Do] * Washington: "Of course..." *      ((Jick Nick))
[2010-03-07 13:47] [IC: Local Do] * the engine starts *      ((Kathrine Fields))
[2010-03-07 13:47] [IC: Local Do] * Washington: "You're welcome. Good day, sir." *      ((Jick Nick))
[2010-03-07 13:47] [IC: Local Do] * Washington opens the door and walks out, nodding to Jick. *      ((Jick Nick))
[2010-03-07 13:50] [IC: Local Do] * Tom has a seatbelt on. *      ((Tom Clark))
[2010-03-07 13:50] [IC: Local Do] * Window down *      ((Frank Paterno))
[2010-03-07 13:50] [IC: Local Do] * You can see Thomas is fine. *      ((Thomas Richards))
[2010-03-07 13:50] [IC: Local Do] * You can hear Radio Los Santos *      ((Frank Paterno))
[2010-03-07 13:51] [IC: Local Do] * succed *      ((Vladislav Kitonok))
[2010-03-07 13:51] [IC: Local Do] * Resistance? *      ((Daniel Baker))
[2010-03-07 13:51] [IC: Local Do] * okay *      ((Daniel Baker))
[2010-03-07 13:51] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 13:51] [IC: Local Do] * yes *      ((Vladislav Kitonok))
[2010-03-07 13:51] [IC: Local Do] * Windows down? *      ((Tom Clark))
[2010-03-07 13:51] [IC: Local Do] * She's sleeping, her head on her arms, laying on the table pretty much. *      ((Nina Lukina))
[2010-03-07 13:51] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 13:52] [IC: Local Do] * yes *      ((Vladislav Kitonok))
[2010-03-07 13:52] [IC: Local Do] * crashed out *      ((Mauricio Romero))
[2010-03-07 13:52] [IC: Local Do] * Click *      ((Daniel Baker))
[2010-03-07 13:52] [IC: Local Do] * the door is open *      ((Mauricio Romero))
[2010-03-07 13:52] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 13:52] [IC: Local Do] * over. *      ((Daniel Baker))
[2010-03-07 13:52] [IC: Local Do] * fail *      ((Daniel Baker))
[2010-03-07 13:53] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 13:53] [IC: Local Do] * yes *      ((Vladislav Kitonok))
[2010-03-07 13:53] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 13:53] [IC: Local Do] * no *      ((Vladislav Kitonok))
[2010-03-07 13:53] [IC: Local Do] * why? *      ((Daniel Baker))
[2010-03-07 13:53] [IC: Local Do] * succed? *      ((Vladislav Kitonok))
[2010-03-07 13:54] [IC: Local Do] * why did I fail? *      ((Daniel Baker))
[2010-03-07 13:54] [IC: Local Do] * in getting you inside teh cruiser? *      ((Daniel Baker))
[2010-03-07 13:54] [IC: Local Do] * cuz im kicking *      ((Vladislav Kitonok))
[2010-03-07 13:54] [IC: Local Do] * Succeed. *      ((Daniel Baker))
[2010-03-07 13:54] [IC: Local Do] * Daniel falls? *      ((Vladislav Kitonok))
[2010-03-07 13:54] [IC: Local Do] * No. *      ((Daniel Baker))
[2010-03-07 13:55] [IC: Local Do] * Is Oscar Concious *      ((Arraminta Brenkly))
[2010-03-07 13:55] [IC: Local Do] * succed *      ((Vladislav Kitonok))
[2010-03-07 13:55] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 13:55] [IC: Local Do] * Yes *      ((Oscar Acosta))
[2010-03-07 13:55] [IC: Local Do] * okay *      ((Daniel Baker))
[2010-03-07 13:56] [IC: Local Do] * Sergei has a russian accent *      ((Sergei Bardachenko))
[2010-03-07 13:57] [IC: Local Do] * Sergei has a russian accent *      ((Sergei Bardachenko))
[2010-03-07 13:57] [IC: Local Do] * Succed? *      ((Frank Paterno))
[2010-03-07 13:57] [IC: Local Do] * succedes, as i walk backward. *      ((Justin McKaine))
[2010-03-07 13:57] [IC: Local Do] * The Back doors lock, but the front doors remain unlocked *      ((Arraminta Brenkly))
[2010-03-07 13:57] [IC: Local Do] * does he catch? *      ((Kathrine Fields))
[2010-03-07 13:58] [IC: Local Do] * does he catch? *      ((Kathrine Fields))
[2010-03-07 13:58] [IC: Local Do] * yes *      ((Ruurd Spoel))
[2010-03-07 13:59] [IC: Local Do] * eyes if she succeeds. *      ((Aylena Kuznetsova))
[2010-03-07 13:59] [IC: Local Do] * Does Drake catch the sandwich? *      ((Kathrine Fields))
[2010-03-07 13:59] [IC: Local Do] * Leg hurts *      ((Oscar Acosta))
[2010-03-07 13:59] [IC: Local Do] * Is Oscar using crutches? *      ((Jick Nick))
[2010-03-07 13:59] [IC: Local Do] * Yes, he is *      ((Oscar Acosta))
[2010-03-07 14:00] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 14:00] [IC: Local Do] * yes *      ((Vladislav Kitonok))
[2010-03-07 14:00] [IC: Local Do] * Aylena's inner thigh. *      ((Nina Lukina))
[2010-03-07 14:01] [IC: Local Do] * There is an X-ray machine above teh table, its control panel faces the door. *      ((Jick Nick))
[2010-03-07 14:01] [IC: Local Do] * crunch *      ((Adam Benjamin))
[2010-03-07 14:01] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 14:01] [IC: Local Do] * What does the image show? *      ((Jick Nick))
[2010-03-07 14:01] [IC: Local Do] * Sergei has a russian accent *      ((Sergei Bardachenko))
[2010-03-07 14:01] [IC: Local Do] * From 1-10 the fracture is 4 *      ((Oscar Acosta))
[2010-03-07 14:02] [IC: Local Do] * on the same ankle? *      ((Jick Nick))
[2010-03-07 14:02] [IC: Local Do] * Yes *      ((Oscar Acosta))
[2010-03-07 14:02] [IC: Local Do] * Any dislocation? *      ((Jick Nick))
[2010-03-07 14:02] [IC: Local Do] * No *      ((Oscar Acosta))
[2010-03-07 14:03] [IC: Local Do] * as well. *      ((Aylena Kuznetsova))
[2010-03-07 14:03] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 14:03] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 14:03] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 14:04] [IC: Local Do] * towards her breasts, she looks up to her and grins. *      ((Aylena Kuznetsova))
[2010-03-07 14:04] [IC: Local Do] * "Codeine" *      ((Jick Nick))
[2010-03-07 14:04] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 14:04] [IC: Local Do] * How much does one pill contain codeine? *      ((Oscar Acosta))
[2010-03-07 14:04] [IC: Local Do] * the bra. *      ((Aylena Kuznetsova))
[2010-03-07 14:06] [IC: Local Do] * the engine starts *      ((Kathrine Fields))
[2010-03-07 14:06] [IC: Local Do] * 30mg pills *      ((Jick Nick))
[2010-03-07 14:06] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 14:06] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 14:06] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 14:07] [IC: Local Do] * yes *      ((Vladislav Kitonok))
[2010-03-07 14:07] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 14:07] [IC: Local Do] * blades choppin *      ((Adam Benjamin))
[2010-03-07 14:07] [IC: Local Do] * around her clitoris a few times, downing her lips over it, then comes back up and down a few *      ((Aylena Kuznetsova))
[2010-03-07 14:07] [IC: Local Do] * The ATM is loading. *      ((Justin McKaine))
[2010-03-07 14:07] [IC: Local Do] * times, her lips smoothely running over. *      ((Aylena Kuznetsova))
[2010-03-07 14:08] [IC: Local Do] * She then closes her eyes and starts sucking rather intense, twirling her tongue around over *      ((Aylena Kuznetsova))
[2010-03-07 14:08] [IC: Local Do] * during so. *      ((Aylena Kuznetsova))
[2010-03-07 14:08] [IC: Local Do] * the screen shown on the screen what the amount of the cash is. *      ((Justin McKaine))
[2010-03-07 14:08] [IC: Local Do] * is your window up or down? *      ((Michelle Holloway))
[2010-03-07 14:08] [IC: Local Do] * Down *      ((Frank Paterno))
[2010-03-07 14:09] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 14:09] [IC: Local Do] * further down on the chair, getting slightly wet. *      ((Nina Lukina))
[2010-03-07 14:09] [IC: Local Do] * squeezing whilst doing so. *      ((Aylena Kuznetsova))
[2010-03-07 14:09] [IC: Local Do] * Akio Is holding a speed tazer *      ((Akio Katashi))
[2010-03-07 14:10] [IC: Local Do] * pulls her pants and underwear back up. *      ((Nina Lukina))
[2010-03-07 14:11] [IC: Local Do] * Dougie has a strong Scottish accent. *      ((Dougie MacKenzie))
[2010-03-07 14:11] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 14:12] [IC: Local Do] * That's money inside, yes? *      ((LaTroy Linus))
[2010-03-07 14:12] [IC: Local Do] * Yes *      ((Sergei Bardachenko))
[2010-03-07 14:14] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 14:14] [IC: Local Do] * succed *      ((Vladislav Kitonok))
[2010-03-07 14:16] [IC: Local Do] * Would Lena recognize Mikhail? *      ((Aylena Kuznetsova))
[2010-03-07 14:16] [IC: Local Do] * Probably by the eyes and a few facial lines. *      ((Mikhail Strogov))
[2010-03-07 14:16] [IC: Local Do] * You feel a good profume from the car. *      ((Leonardo Riba))
[2010-03-07 14:16] [IC: Local Do] * the engine starts *      ((Kathrine Fields))
[2010-03-07 14:17] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 14:19] [IC: Local Do] * Mikhail catches her hand, she blinks a bit, turning her head away as if expecting revenge. *      ((Aylena Kuznetsova))
[2010-03-07 14:19] [IC: Local Do] * Is it open? *      ((Justin McKaine))
[2010-03-07 14:19] [IC: Local Do] * Yes *      ((Leonardo Riba))
[2010-03-07 14:20] [IC: Local Do] * chuckle and smiles up at Mikhail after. *      ((Aylena Kuznetsova))
[2010-03-07 14:22] [IC: Local Do] * Akio Is holding a speed tazer *      ((Akio Katashi))
[2010-03-07 14:22] [IC: Local Do] * suceed? *      ((Arraminta Brenkly))
[2010-03-07 14:22] [IC: Local Do] * Yes *      ((Oscar Acosta))
[2010-03-07 14:22] [IC: Local Do] * suceed? *      ((Arraminta Brenkly))
[2010-03-07 14:22] [IC: Local Do] * Yes *      ((Oscar Acosta))
[2010-03-07 14:23] [IC: Local Do] * suceed? *      ((Arraminta Brenkly))
[2010-03-07 14:23] [IC: Local Do] * suceed? *      ((Arraminta Brenkly))
[2010-03-07 14:23] [IC: Local Do] * Succeed *      ((Oscar Acosta))
[2010-03-07 14:24] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 14:24] [IC: Local Do] * suceed? *      ((Arraminta Brenkly))
[2010-03-07 14:24] [IC: Local Do] * yes *      ((Oscar Acosta))
[2010-03-07 14:24] [IC: Local Do] * Succed *      ((Frank Paterno))
[2010-03-07 14:25] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 14:25] [IC: Local Do] * Suceed? *      ((Arraminta Brenkly))
[2010-03-07 14:25] [IC: Local Do] * yes *      ((Oscar Acosta))
[2010-03-07 14:26] [IC: Local Do] * the lady prepares a double rum and serves it *      ((Osiris Mansell))
[2010-03-07 14:26] [IC: Local Do] * Do I succeed in getting you hand behind your back? *      ((Daniel Baker))
[2010-03-07 14:26] [IC: Local Do] * yes... *      ((Frank Paterno))
[2010-03-07 14:27] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 14:27] [IC: Local Do] * Succed *      ((Frank Paterno))
[2010-03-07 14:27] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 14:27] [IC: Local Do] * Succed *      ((Frank Paterno))
[2010-03-07 14:28] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 14:28] [IC: Local Do] * Succed *      ((Frank Paterno))
[2010-03-07 14:29] [IC: Local Do] * Succed ? *      ((Leonardo Riba))
[2010-03-07 14:29] [IC: Local Do] * fail *      ((Ruurd Spoel))
[2010-03-07 14:29] [IC: Local Do] * Window? *      ((Turell Yates))
[2010-03-07 14:30] [IC: Local Do] * its down *      ((Jack Shakur))
[2010-03-07 14:30] [IC: Local Do] * sips the rum *      ((Osiris Mansell))
[2010-03-07 14:30] [IC: Local Do] * succed *      ((Ruurd Spoel))
